cwe_category,cwe_member
1,CWE-209
1,CWE-22
1,CWE-220
1,CWE-223
1,CWE-256
1,CWE-284
1,CWE-285
1,CWE-287
1,CWE-295
1,CWE-308
1,CWE-311
1,CWE-312
1,CWE-319
1,CWE-320
1,CWE-325
1,CWE-326
1,CWE-327
1,CWE-328
1,CWE-359
1,CWE-384
1,CWE-425
1,CWE-502
1,CWE-522
1,CWE-523
1,CWE-548
1,CWE-564
1,CWE-611
1,CWE-613
1,CWE-620
1,CWE-639
1,CWE-640
1,CWE-77
1,CWE-776
1,CWE-778
1,CWE-78
1,CWE-79
1,CWE-88
1,CWE-89
1,CWE-90
1,CWE-91
1,CWE-917
1,CWE-943
2,CWE-564
2,CWE-77
2,CWE-78
2,CWE-88
2,CWE-89
2,CWE-90
2,CWE-91
2,CWE-917
2,CWE-943
3,CWE-256
3,CWE-287
3,CWE-308
3,CWE-384
3,CWE-522
3,CWE-523
3,CWE-613
3,CWE-620
3,CWE-640
4,CWE-220
4,CWE-295
4,CWE-311
4,CWE-312
4,CWE-319
4,CWE-320
4,CWE-325
4,CWE-326
4,CWE-327
4,CWE-328
4,CWE-359
5,CWE-611
5,CWE-776
6,CWE-22
6,CWE-284
6,CWE-285
6,CWE-425
6,CWE-639
7,CWE-16
7,CWE-209
7,CWE-548
8,CWE-79
9,CWE-502
11,CWE-223
11,CWE-778
12,CWE-120
12,CWE-131
12,CWE-134
12,CWE-190
12,CWE-209
12,CWE-212
12,CWE-22
12,CWE-250
12,CWE-306
12,CWE-307
12,CWE-311
12,CWE-327
12,CWE-330
12,CWE-352
12,CWE-362
12,CWE-434
12,CWE-456
12,CWE-476
12,CWE-494
12,CWE-601
12,CWE-676
12,CWE-681
12,CWE-732
12,CWE-754
12,CWE-759
12,CWE-770
12,CWE-772
12,CWE-78
12,CWE-79
12,CWE-798
12,CWE-805
12,CWE-807
12,CWE-822
12,CWE-825
12,CWE-829
12,CWE-838
12,CWE-841
12,CWE-862
12,CWE-863
12,CWE-89
13,CWE-209
13,CWE-212
13,CWE-330
13,CWE-362
13,CWE-456
13,CWE-476
13,CWE-681
13,CWE-754
13,CWE-770
13,CWE-772
13,CWE-805
13,CWE-822
13,CWE-825
13,CWE-838
13,CWE-841
14,CWE-250
14,CWE-306
14,CWE-307
14,CWE-311
14,CWE-327
14,CWE-732
14,CWE-759
14,CWE-798
14,CWE-807
14,CWE-862
14,CWE-863
15,CWE-120
15,CWE-131
15,CWE-134
15,CWE-190
15,CWE-22
15,CWE-494
15,CWE-676
16,CWE-352
16,CWE-434
16,CWE-601
16,CWE-78
16,CWE-79
16,CWE-829
16,CWE-89
17,CWE-119
17,CWE-125
17,CWE-190
17,CWE-20
17,CWE-200
17,CWE-22
17,CWE-269
17,CWE-287
17,CWE-295
17,CWE-352
17,CWE-400
17,CWE-416
17,CWE-426
17,CWE-434
17,CWE-476
17,CWE-502
17,CWE-611
17,CWE-732
17,CWE-772
17,CWE-78
17,CWE-787
17,CWE-79
17,CWE-798
17,CWE-89
17,CWE-94
19,CWE-282
19,CWE-283
19,CWE-284
19,CWE-286
19,CWE-708
20,CWE-285
20,CWE-424
20,CWE-639
20,CWE-650
21,CWE-276
21,CWE-277
21,CWE-278
21,CWE-279
21,CWE-281
21,CWE-560
21,CWE-732
22,CWE-287
22,CWE-288
22,CWE-289
22,CWE-303
22,CWE-304
22,CWE-305
22,CWE-308
22,CWE-309
22,CWE-603
23,CWE-296
23,CWE-297
23,CWE-298
23,CWE-299
23,CWE-593
23,CWE-599
24,CWE-293
24,CWE-302
24,CWE-345
24,CWE-346
24,CWE-350
24,CWE-360
24,CWE-551
24,CWE-565
24,CWE-647
25,CWE-258
25,CWE-259
25,CWE-321
25,CWE-547
26,CWE-262
26,CWE-263
26,CWE-521
26,CWE-556
26,CWE-613
26,CWE-645
27,CWE-306
27,CWE-620
28,CWE-422
28,CWE-425
29,CWE-605
30,CWE-307
31,CWE-290
31,CWE-294
31,CWE-300
31,CWE-301
31,CWE-419
31,CWE-420
31,CWE-421
31,CWE-441
32,CWE-353
32,CWE-435
32,CWE-436
32,CWE-437
32,CWE-757
33,CWE-325
33,CWE-327
33,CWE-328
33,CWE-759
33,CWE-760
34,CWE-261
34,CWE-322
34,CWE-323
34,CWE-324
34,CWE-326
34,CWE-329
34,CWE-347
34,CWE-640
35,CWE-396
35,CWE-397
36,CWE-392
36,CWE-393
36,CWE-455
36,CWE-460
36,CWE-544
36,CWE-584
36,CWE-636
36,CWE-703
37,CWE-248
37,CWE-252
37,CWE-253
37,CWE-273
37,CWE-280
37,CWE-372
37,CWE-390
37,CWE-391
37,CWE-394
37,CWE-395
37,CWE-431
37,CWE-478
37,CWE-484
37,CWE-600
37,CWE-665
37,CWE-754
37,CWE-755
38,CWE-11
38,CWE-117
38,CWE-12
38,CWE-13
38,CWE-14
38,CWE-200
38,CWE-201
38,CWE-209
38,CWE-210
38,CWE-211
38,CWE-212
38,CWE-213
38,CWE-214
38,CWE-215
38,CWE-219
38,CWE-220
38,CWE-226
38,CWE-244
38,CWE-256
38,CWE-257
38,CWE-260
38,CWE-311
38,CWE-312
38,CWE-313
38,CWE-314
38,CWE-315
38,CWE-316
38,CWE-317
38,CWE-318
38,CWE-319
38,CWE-374
38,CWE-375
38,CWE-402
38,CWE-403
38,CWE-433
38,CWE-495
38,CWE-497
38,CWE-498
38,CWE-499
38,CWE-5
38,CWE-501
38,CWE-522
38,CWE-523
38,CWE-526
38,CWE-527
38,CWE-528
38,CWE-529
38,CWE-530
38,CWE-532
38,CWE-535
38,CWE-536
38,CWE-537
38,CWE-538
38,CWE-539
38,CWE-540
38,CWE-541
38,CWE-546
38,CWE-548
38,CWE-550
38,CWE-552
38,CWE-555
38,CWE-591
38,CWE-598
38,CWE-607
38,CWE-612
38,CWE-615
38,CWE-642
38,CWE-668
38,CWE-669
38,CWE-7
38,CWE-756
38,CWE-767
38,CWE-8
39,CWE-377
39,CWE-378
39,CWE-379
40,CWE-488
40,CWE-524
40,CWE-6
41,CWE-453
41,CWE-487
41,CWE-492
41,CWE-525
41,CWE-614
41,CWE-651
42,CWE-202
42,CWE-203
42,CWE-204
42,CWE-205
42,CWE-206
42,CWE-207
42,CWE-208
43,CWE-385
43,CWE-514
43,CWE-515
44,CWE-415
44,CWE-590
44,CWE-761
44,CWE-762
44,CWE-763
45,CWE-118
45,CWE-119
45,CWE-120
45,CWE-121
45,CWE-122
45,CWE-123
45,CWE-124
45,CWE-125
45,CWE-126
45,CWE-127
45,CWE-129
46,CWE-469
46,CWE-476
46,CWE-588
47,CWE-785
48,CWE-170
49,CWE-131
49,CWE-135
49,CWE-467
50,CWE-348
50,CWE-359
50,CWE-602
50,CWE-637
50,CWE-649
50,CWE-654
50,CWE-656
50,CWE-657
50,CWE-671
50,CWE-693
50,CWE-749
51,CWE-733
52,CWE-115
52,CWE-187
52,CWE-188
52,CWE-193
52,CWE-349
52,CWE-405
52,CWE-406
52,CWE-407
52,CWE-408
52,CWE-409
52,CWE-410
52,CWE-430
52,CWE-462
52,CWE-463
52,CWE-464
52,CWE-480
52,CWE-483
52,CWE-581
52,CWE-595
52,CWE-618
52,CWE-648
52,CWE-670
52,CWE-682
52,CWE-691
52,CWE-696
52,CWE-697
52,CWE-698
52,CWE-705
53,CWE-216
53,CWE-358
53,CWE-398
53,CWE-623
53,CWE-710
54,CWE-243
55,CWE-386
55,CWE-59
55,CWE-610
55,CWE-62
55,CWE-64
55,CWE-65
56,CWE-22
56,CWE-23
56,CWE-24
56,CWE-25
56,CWE-26
56,CWE-27
56,CWE-28
56,CWE-29
56,CWE-30
56,CWE-31
56,CWE-32
56,CWE-33
56,CWE-34
56,CWE-35
56,CWE-36
56,CWE-37
56,CWE-38
56,CWE-39
56,CWE-40
56,CWE-41
56,CWE-42
56,CWE-428
56,CWE-43
56,CWE-44
56,CWE-45
56,CWE-46
56,CWE-47
56,CWE-48
56,CWE-49
56,CWE-50
56,CWE-51
56,CWE-52
56,CWE-53
56,CWE-54
56,CWE-55
56,CWE-56
56,CWE-57
56,CWE-58
56,CWE-66
56,CWE-67
56,CWE-706
56,CWE-72
56,CWE-73
57,CWE-401
57,CWE-404
57,CWE-459
57,CWE-771
57,CWE-772
57,CWE-773
57,CWE-775
58,CWE-416
58,CWE-672
59,CWE-664
59,CWE-666
59,CWE-675
59,CWE-694
60,CWE-400
60,CWE-674
60,CWE-770
60,CWE-774
61,CWE-364
61,CWE-365
61,CWE-366
61,CWE-368
61,CWE-413
61,CWE-414
61,CWE-543
61,CWE-567
61,CWE-609
61,CWE-662
61,CWE-663
61,CWE-667
62,CWE-585
62,CWE-764
62,CWE-765
63,CWE-362
63,CWE-363
63,CWE-367
63,CWE-370
63,CWE-638
64,CWE-412
65,CWE-102
65,CWE-103
65,CWE-104
65,CWE-105
65,CWE-106
65,CWE-107
65,CWE-108
65,CWE-109
65,CWE-110
65,CWE-112
65,CWE-113
65,CWE-130
65,CWE-134
65,CWE-138
65,CWE-140
65,CWE-141
65,CWE-142
65,CWE-143
65,CWE-144
65,CWE-145
65,CWE-146
65,CWE-147
65,CWE-148
65,CWE-149
65,CWE-150
65,CWE-151
65,CWE-152
65,CWE-153
65,CWE-154
65,CWE-155
65,CWE-156
65,CWE-157
65,CWE-158
65,CWE-159
65,CWE-160
65,CWE-161
65,CWE-162
65,CWE-163
65,CWE-164
65,CWE-165
65,CWE-183
65,CWE-184
65,CWE-185
65,CWE-186
65,CWE-444
65,CWE-553
65,CWE-554
65,CWE-564
65,CWE-601
65,CWE-611
65,CWE-619
65,CWE-621
65,CWE-624
65,CWE-625
65,CWE-626
65,CWE-627
65,CWE-641
65,CWE-643
65,CWE-644
65,CWE-646
65,CWE-652
65,CWE-707
65,CWE-74
65,CWE-75
65,CWE-76
65,CWE-77
65,CWE-78
65,CWE-79
65,CWE-80
65,CWE-81
65,CWE-82
65,CWE-83
65,CWE-84
65,CWE-85
65,CWE-86
65,CWE-87
65,CWE-88
65,CWE-89
65,CWE-90
65,CWE-91
65,CWE-93
65,CWE-95
65,CWE-96
65,CWE-97
65,CWE-99
66,CWE-114
66,CWE-427
66,CWE-470
66,CWE-471
66,CWE-472
66,CWE-473
66,CWE-494
66,CWE-622
66,CWE-673
66,CWE-94
67,CWE-116
67,CWE-166
67,CWE-167
67,CWE-168
67,CWE-172
67,CWE-173
67,CWE-174
67,CWE-175
67,CWE-176
67,CWE-177
67,CWE-178
67,CWE-179
67,CWE-180
67,CWE-181
67,CWE-182
68,CWE-198
68,CWE-228
68,CWE-229
68,CWE-230
68,CWE-231
68,CWE-232
68,CWE-233
68,CWE-234
68,CWE-235
68,CWE-236
68,CWE-237
68,CWE-238
68,CWE-239
68,CWE-240
68,CWE-241
68,CWE-351
68,CWE-354
69,CWE-15
69,CWE-20
69,CWE-454
69,CWE-496
69,CWE-502
69,CWE-566
69,CWE-606
69,CWE-616
70,CWE-447
70,CWE-448
70,CWE-449
70,CWE-450
70,CWE-451
70,CWE-549
70,CWE-655
71,CWE-356
71,CWE-357
71,CWE-446
72,CWE-221
72,CWE-222
72,CWE-223
72,CWE-224
73,CWE-128
73,CWE-190
73,CWE-191
73,CWE-194
73,CWE-195
73,CWE-196
73,CWE-197
73,CWE-369
73,CWE-456
73,CWE-457
73,CWE-466
73,CWE-468
73,CWE-475
73,CWE-481
73,CWE-486
73,CWE-562
73,CWE-570
73,CWE-571
73,CWE-579
73,CWE-587
73,CWE-594
73,CWE-597
73,CWE-628
73,CWE-681
73,CWE-683
73,CWE-685
73,CWE-686
73,CWE-687
73,CWE-688
73,CWE-704
73,CWE-768
74,CWE-111
74,CWE-242
74,CWE-245
74,CWE-246
74,CWE-382
74,CWE-383
74,CWE-432
74,CWE-439
74,CWE-440
74,CWE-474
74,CWE-477
74,CWE-479
74,CWE-558
74,CWE-572
74,CWE-573
74,CWE-574
74,CWE-575
74,CWE-576
74,CWE-577
74,CWE-578
74,CWE-586
74,CWE-589
74,CWE-617
74,CWE-676
74,CWE-684
74,CWE-695
74,CWE-758
75,CWE-489
75,CWE-491
75,CWE-493
75,CWE-500
75,CWE-531
75,CWE-568
75,CWE-580
75,CWE-582
75,CWE-583
75,CWE-608
75,CWE-766
